CID,HOST_RA,HOST_DEC,zHEL,zCMB
2011fe,-999,-999,0.00082,0.00122
2011fe,-999,-999,0.00082,0.00122
2012cg,-999,-999,0.00144,0.00256
2012cg,-999,-999,0.00144,0.00256
1994DRichmond,-999,-999,0.00187,0.00299
1981B,-999,-999,0.00236,0.0035
2013aa,-999,-999,0.00411,0.00478
2013aa,-999,-999,0.00411,0.00478
2017cbv,-999,-999,0.00411,0.00478
2017cbv,-999,-999,0.00411,0.00478
2001el,-999,-999,0.00379,0.00357
2011by,-999,-999,0.00313,0.00369
1998aq,-999,-999,0.00313,0.00369
1990N,-999,-999,0.00355,0.00462
2021pit,-999,-999,0.00388,0.00366
2005df,-999,-999,0.00435,0.00435
2005df_ANU,-999,-999,0.00435,0.00435
2013dy,-999,-999,0.00394,0.00293
2013dy,-999,-999,0.00394,0.00293
2012ht,-999,-999,0.00352,0.00465
2012ht,-999,-999,0.00352,0.00465
1980N,-999,-999,0.00495,0.0046
2012fr,-999,-999,0.00492,0.0046
2007on,-999,-999,0.00491,0.0046
2012fr,-999,-999,0.00492,0.0046
1992A,-999,-999,0.00492,0.0046
2007on,-999,-999,0.00491,0.0046
2015F,-999,-999,0.00476,0.00515
2015F,-999,-999,0.00476,0.00515
2011B,-999,-999,0.00452,0.00458
2018aoz,-999,-999,0.00587,0.00701
2016coj,-999,-999,0.00452,0.00489
SN2016coj,-999,-999,0.00452,0.00489
2007sr,-999,-999,0.00542,0.0066
2007sr,-999,-999,0.00542,0.0066
2007gi,-999,-999,0.00462,0.00505
1994ae,-999,-999,0.00427,0.0054
2015bp,-999,-999,0.00539,0.00603
2018gv,-999,-999,0.0051,0.00596
2018gv,-999,-999,0.0051,0.00596
2018gv,-999,-999,0.0051,0.00596
1981D,-999,-999,0.00587,0.00551
2006dd,-999,-999,0.00587,0.00551
2007af,-999,-999,0.00552,0.00635
2007af,-999,-999,0.00552,0.00635
2007af,-999,-999,0.00552,0.00635
2007af,-999,-999,0.00552,0.00635
2007le,-999,-999,0.00672,0.00552
2007le,-999,-999,0.00672,0.00552
2007le,-999,-999,0.00672,0.00552
1998dm,-999,-999,0.00667,0.00567
2014bv,-999,-999,0.00533,0.00548
2019np,-999,-999,0.00452,0.0055
2019np,-999,-999,0.00452,0.0055
1997br,-999,-999,0.00699,0.00801
2011iv,-999,-999,0.00625,0.00594
1995al,-999,-999,0.00504,0.00592
1996X,-999,-999,0.00712,0.00812
2017erp,-999,-999,0.00662,0.00727
2017erp,-999,-999,0.00662,0.00727
2017erp,-999,-999,0.00662,0.00727
1992G,-999,-999,0.00523,0.00611
2005cf,-999,-999,0.00644,0.00703
2005cf,-999,-999,0.00644,0.00703
2005cf,-999,-999,0.00644,0.00703
2002fk,-999,-999,0.00719,0.00668
2002fk,-999,-999,0.00719,0.00668
2003du,-999,-999,0.00638,0.00664
2003du,-999,-999,0.00638,0.00664
2003du,-999,-999,0.00638,0.00664
2008Q,-999,-999,0.00826,0.00722
2008Q,-999,-999,0.00826,0.00722
2003kf,-999,-999,0.00739,0.00769
1998dh,-999,-999,0.00893,0.00769
1998dh,-999,-999,0.00893,0.00769
2012hr,-999,-999,0.00757,0.00788
2009ig,-999,-999,0.00877,0.00801
2009ig,-999,-999,0.00877,0.00801
2009ig,-999,-999,0.00877,0.00801
1996Z,-999,-999,0.00757,0.00867
1995D,-999,-999,0.00668,0.0078
1991M,-999,-999,0.00726,0.00758
2013gh,-999,-999,0.00881,0.00775
2013gh,-999,-999,0.00881,0.00775
2001bg,-999,-999,0.00719,0.00796
2005W,-999,-999,0.00954,0.00861
ASASSN-15so,-999,-999,0.00702,0.00773
PSNJ0717457,-999,-999,0.00759,0.00812
2005am,-999,-999,0.00733,0.00841
2005am,-999,-999,0.00733,0.00841
2005am,-999,-999,0.00733,0.00841
1997bp,-999,-999,0.00817,0.00931
2019ein,-999,-999,0.00775,0.00837
2002er,-999,-999,0.00855,0.00853
2002er,-999,-999,0.00855,0.00853
2006D,-999,-999,0.00853,0.00966
2006D,-999,-999,0.00853,0.00966
2006D,-999,-999,0.00853,0.00966
2013cs,-999,-999,0.00924,0.01029
1999cp,-999,-999,0.00907,0.00998
1999cp,-999,-999,0.00907,0.00998
2002cr,-999,-999,0.00907,0.00998
2002cr,-999,-999,0.00907,0.00998
2002dj,-999,-999,0.00945,0.01051
2002dj,-999,-999,0.00945,0.01051
1998es,-999,-999,0.01057,0.00957
1998es,-999,-999,0.01057,0.00957
PTF10icb,-999,-999,0.00856,0.009
2009Y,-999,-999,0.00974,0.0105
2009Y,-999,-999,0.00974,0.0105
2009Y,-999,-999,0.00974,0.0105
2013E,-999,-999,0.00936,0.01042
1999ac,-999,-999,0.00947,0.00979
1999ac,-999,-999,0.00947,0.00979
2009an,-999,-999,0.00887,0.00921
2009an,-999,-999,0.00887,0.00921
2006bh,-999,-999,0.01077,0.01042
2004S,-999,-999,0.0093,0.0098
2021hpr,-999,-999,0.00938,0.00958
2002dp,-999,-999,0.01169,0.01049
2002dp,-999,-999,0.01169,0.01049
1997do,-999,-999,0.01012,0.01048
1997bq,-999,-999,0.00973,0.00993
2008fv_comb,-999,-999,0.00973,0.00993
ASASSN-16jf,-999,-999,0.01144,0.0104
iPTF13ebh,-999,-999,0.01317,0.01238
iPTF13ebh,-999,-999,0.01317,0.01238
2010ko,-999,-999,0.01082,0.01096
2013ex,-999,-999,0.01082,0.01096
2013ex,-999,-999,0.01082,0.01096
2009ab,-999,-999,0.01219,0.01189
2011ao,-999,-999,0.01074,0.01168
2001cz,-999,-999,0.01178,0.01275
2009kk,-999,-999,0.01286,0.01244
2010Y,-999,-999,0.01105,0.01142
2008R,-999,-999,0.01321,0.0126
2002ha,-999,-999,0.01321,0.0122
2002ha,-999,-999,0.01321,0.0122
2009kq,-999,-999,0.01169,0.01247
2009kq,-999,-999,0.01169,0.01247
2001bt,-999,-999,0.01426,0.01407
2001ep,-999,-999,0.01312,0.01306
2001ep,-999,-999,0.01312,0.01306
2013gy,-999,-999,0.01355,0.01309
2013gy,-999,-999,0.01355,0.01309
AT2017cfd,-999,-999,0.01208,0.01222
2017cfd,-999,-999,0.01208,0.01222
1999dq,-999,-999,0.01413,0.01334
1999dq,-999,-999,0.01413,0.01334
2007hj,-999,-999,0.01411,0.01288
2007hj,-999,-999,0.01411,0.01288
2007hj,-999,-999,0.01411,0.01288
2008hv,-999,-999,0.01255,0.0136
2008hv,-999,-999,0.01255,0.0136
2008hv,-999,-999,0.01255,0.0136
1997E,-999,-999,0.01315,0.01314
2007cv,-999,-999,0.01245,0.01361
1992al,-999,-999,0.01484,0.01434
1999dk,-999,-999,0.01502,0.014
1999dk,-999,-999,0.01502,0.014
ASASSN-16dn,-999,-999,0.01285,0.01406
ASASSN-16la,-999,-999,0.01506,0.01424
2005kc,-999,-999,0.01509,0.01386
2005kc,-999,-999,0.01509,0.01386
2007ca,-999,-999,0.01406,0.01509
2007ca,-999,-999,0.01406,0.01509
2007ca,-999,-999,0.01406,0.01509
2006N,-999,-999,0.01416,0.01416
2006td,-999,-999,0.01588,0.01504
2013gq,-999,-999,0.01381,0.01457
2004eo,-999,-999,0.01517,0.0142
2003gt,-999,-999,0.01519,0.01422
2005bo,-999,-999,0.01389,0.01503
2005bo,-999,-999,0.01389,0.01503
2001fe,-999,-999,0.01351,0.01448
2013fa,-999,-999,0.0153,0.01429
2000dm,-999,-999,0.0151,0.01472
PSNJ2043531,-999,-999,0.01549,0.01449
2011df,-999,-999,0.01454,0.01402
2005el,-999,-999,0.01484,0.01483
2005el,-999,-999,0.01484,0.01483
2001cn,-999,-999,0.01515,0.01509
2005de,-999,-999,0.01526,0.01495
SN2017jl,-999,-999,0.01633,0.01529
ASASSN-16ad,-999,-999,0.01613,0.01522
ATLAS16cxr,-999,-999,0.01552,0.01518
iPTF16auf,-999,-999,0.01502,0.01566
2008bc,-999,-999,0.01509,0.01572
2011im,-999,-999,0.01616,0.01493
1999ej,-999,-999,0.0163,0.01534
1999ej,-999,-999,0.0163,0.01534
2001en,-999,-999,0.01629,0.01534
2001en,-999,-999,0.01629,0.01534
2001V,-999,-999,0.01488,0.01592
2001V,-999,-999,0.01488,0.01592
2008ec,-999,-999,0.01631,0.01506
2008ec,-999,-999,0.01631,0.01506
2008eo,-999,-999,0.01643,0.01539
2009nq,-999,-999,0.01649,0.01527
2005al,-999,-999,0.01538,0.01629
2013hn,-999,-999,0.01538,0.01629
2001bf,-999,-999,0.01587,0.01556
2001bf,-999,-999,0.01587,0.01556
ASASSN-15oh,-999,-999,0.01683,0.01579
1994S,-999,-999,0.01524,0.01619
1999aa,-999,-999,0.01497,0.01579
1999aa,-999,-999,0.01497,0.01579
2002cs,-999,-999,0.01584,0.01538
iPTF14bdn,-999,-999,0.01558,0.01636
2007ss,-999,-999,0.01557,0.01619
2010kg,-999,-999,0.01614,0.01595
2013fw,-999,-999,0.01679,0.0157
2013Q,-999,-999,0.01727,0.01612
iPTF13dge,-999,-999,0.01586,0.01581
2007fs,-999,-999,0.01737,0.01633
SN2016gfr,-999,-999,0.01669,0.0163
ASASSN-16ip,-999,-999,0.01701,0.01632
2007A,-999,-999,0.01765,0.01646
2007A,-999,-999,0.01765,0.01646
PSNJ0107203,-999,-999,0.01701,0.01601
1998ef,-999,-999,0.01711,0.0161
1998ef,-999,-999,0.01711,0.0161
ASASSN-15ti,-999,-999,0.01732,0.01671
ASASSN-15od,-999,-999,0.0176,0.01678
1996bv,-999,-999,0.01667,0.01673
1997Y,-999,-999,0.01608,0.01661
2001da,-999,-999,0.01782,0.01658
2001da,-999,-999,0.01782,0.01658
ASASSN-15kx,-999,-999,0.01802,0.01697
2000dk,-999,-999,0.01749,0.01649
2000dk,-999,-999,0.01749,0.01649
2007fb,-999,-999,0.01803,0.0168
2007fb,-999,-999,0.01803,0.0168
2006ef,-999,-999,0.01781,0.01694
2008C,-999,-999,0.01662,0.01709
2008C,-999,-999,0.01662,0.01709
2004fz,-999,-999,0.01732,0.01646
2006ax,-999,-999,0.01649,0.01774
2006ax,-999,-999,0.01649,0.01774
1998V,-999,-999,0.01758,0.01718
2013gs,-999,-999,0.01681,0.01748
